1047733	Tarsius spectrumgurskyae	Gursky's Spectral Tarsier
105098	Magicicada septendecim	Pharaoh Cicada
105099	Magicicada septendecula	Little 17-year Cicada
1075514	Colobus guereza	Mantled Guereza
1115724	Diceroprocta viridifascia	Atlantic Saltmarsh Cicada
1121926	Tibicina steveni	Tibicina steveni
1125828	Buergeria choui	Yaeyama Kajika Frog
1146656	Eleutherodactylus campi	Rio Grande Chirping Frog
116703	Stauroderus scalaris	Ladder Grasshopper
117313	Gomphocerippus rufus	Rufous Grasshopper
1176764	Indosylvirana nicobariensis	Nicobarese Frog
1176823	Leptodactylus luctator	Wrestler Frog
118552	Felis catus	Domestic Cat
118894	Gryllotalpa orientalis	Oriental Mole Cricket
118951	Pterophylla camellifolia	Common True Katydid
118961	Conocephalus brevipennis	Short-winged Meadow Katydid
118970	Bombus impatiens	Common Eastern Bumble Bee
119925	Diceroprocta apache	Citrus Cicada
119926	Diceroprocta olympusa	Olympic Scrub Cicada
120032	Oecanthus pini	Pine Tree Cricket
120480	Hoplosphyrum boreale	Western Brush Cricket
120791	Fejervarya multistriata	Hong Kong Rice-paddy Frog
121026	Lama glama	Llama
1210966	Lupulella mesomelas	Black-backed Jackal
121578	Ovis aries	Domestic Sheep
122041	Orchelimum pulchellum	Handsome Meadow Katydid
122193	Gryllus pennsylvanicus	Fall Field Cricket
122214	Odontotaenius disjunctus	Horned Passalid
123070	Capra hircus	Domestic Goat
1250330	Hylambates maculatus	Red-legged Wot-wot
1251425	Boana platanera	Banana Tree Dwelling Frog
126247	Leptodactylus insularum	Spotted Foam-nest Frog
1264432	Neogale vison	American Mink
127182	Decticus albifrons	White-faced Bush-cricket
127308	Chorthippus brunneus	Common Field Grasshopper
1279886	Petaurista grandis	Taiwan Giant Flying Squirrel
1279890	Petaurista lena	Taiwan Red-and-white Giant Flying Squirrel
129135	Gryllus veletis	Spring Field Cricket
129233	Oecanthus latipennis	Broad-winged tree cricket
129260	Orchelimum vulgare	Common Meadow Katydid
129261	Conocephalus fasciatus	Slender Meadow Katydid
130356	Oecanthus fultoni	Snowy Tree Cricket
131035	Leptophyes punctatissima	Speckled Bush-cricket
1319807	Pelophylax ridibundus	Marsh Frog
132319	Myrmeleotettix maculatus	Mottled Grasshopper
132419	Omocestus viridulus	Common Green Grasshopper
133220	Acheta domesticus	House Cricket
133250	Tettigonia viridissima	Great Green Bush-cricket
134277	Gastrophryne olivacea	Western Narrow-mouthed Toad
134631	Scinax elaeochroa	Olive Snouted Tree Frog
134693	Bufo spinosus	Spiny Toad
134788	Polypedates braueri	Taiwan Whipping Frog
134933	Espadarana prosoblepon	Emerald Glass Frog
134934	Eupsophus calcaratus	Chiloe Island Ground Frog
134935	Fejervarya cancrivora	Crab-eating Frog
134940	Hyperolius kivuensis	Kivu Reed Frog
134941	Hyperolius marginatus	Margined Reed Frog
134946	Kalophrynus interlineatus	Striped Sticky Frog
134948	Leptodactylus validus	Smooth-skinned Ditch Frog
134964	Proceratophrys boiei	Bahia Smooth-horned Frog
135011	Adenomera andreae	Cocha Chirping Frog
135018	Adenomera hylaedactyla	Forest Chirping Frog
135027	Agalychnis dacnicolor	Mexican Giant Tree Frog
135111	Lithodytes lineatus	Painted Antnest Frog
1369209	Lagothrix lagothricha	Common Woolly Monkey
1369296	Cebus imitator	Central American White-faced Capuchin
1423577	Hoplobatrachus chinensis	East Asian Bullfrog
143151	Orchelimum nigripes	Black-legged Meadow Katydid
143387	Allonemobius fasciatus	Striped Ground Cricket
143905	Anabrus simplex	Mormon Cricket
1449342	Odontophrynus asper	Odontophrynus asper
1453013	Bufotes viridis	Green Toad
146737	Velarifictorus micado	Japanese Burrowing Cricket
146891	Eunemobius carolinus	Carolina Ground Cricket
1472419	Petaurus breviceps	Sugar Glider
147950	Decticus verrucivorus	Wart-biter
148030	Equus asinus	Donkey
1496502	Megatibicen grossus	Northern Dusk-singing Cicada
1497673	Tibicinoides vanduzeei	Van Duzee's Cicada
1511713	Otospermophilus douglasii	Douglas's Ground Squirrel
153394	Trimerotropis verruculata	Crackling Forest Grasshopper
153455	Oecanthus rileyi	Riley's Tree Cricket
153489	Neduba steindachneri	Steindachner’s Shieldback
154340	Gryllodes sigillatus	Tropical House Cricket
1545223	Limnodynastes grayi	Scarlet-sided Banjo Frog
1546001	Sciurus brasiliensis	Brazilian Squirrel
154605	Oecanthus nigricornis	Black-horned Tree Cricket
154672	Metrioptera brachyptera	Bog Bush-cricket
155238	Idiostatus aequalis	Uniform shieldback
1558164	Pelophylax lessonae	Pool Frog
1580084	Orchelimum agile	Agile Meadow Katydid
1594925	Planopleura kaempferi	Kaempfer Cicada
1595931	Dendropsophus molitor	Green Dotted Tree Frog
1596127	Cnephaeus serotinus	Eurasian Serotine
1603072	Pycnogaster cucullata	Hooded Saddle Bush-cricket
1632436	Carichyla bicolor	Northern Dwarf Tree Frog
1632443	Chlorohyla chloris	Red-eyed Tree Frog
1632452	Coggerdonia adelaidensis	Slender Tree Frog
1632558	Colleeneremia quiritatus	screaming tree frog
1632559	Colleeneremia rubella	Desert Tree Frog
1632579	Drymomantis fallax	Eastern Dwarf Tree Frog
1632583	Dryopsophus citropa	Blue Mountains Tree Frog
1632586	Dryopsophus nudidigitus	Narrow-fringed Frog
1632587	Dryopsophus pearsonianus	Cascade Tree Frog
1632589	Dryopsophus phyllochrous	Leaf Green Tree Frog
1633145	Pelodryas caerulea	Green Tree Frog
1633155	Pengilleyia peronii	Peron's Tree Frog
1633156	Pengilleyia rothii	Northern Laughing Tree Frog
1633158	Pengilleyia tyleri	Tyler's Laughing Tree Frog
1633169	Rawlinsonia verreauxii	Verreaux's Tree Frog
1633186	Sandyrana infrafrenata	White-lipped Tree Frog
1651012	Cnemoscopus rubrirostris	Grey-hooded Bush Tanager
1652206	Vireo gilvus	Warbling Vireo
1658296	Rawlinsonia calliscelis	South Australian Tree Frog
1668858	Dryophytes cinereus	Green Treefrog
1668859	Dryophytes squirellus	Squirrel Tree Frog
1668922	Dryophytes chrysoscelis	Cope's Gray Tree Frog
1668923	Dryophytes versicolor	Gray Treefrog
1668926	Dryophytes arenicolor	Canyon Tree Frog
1668927	Dryophytes avivoca	Bird-voiced Treefrog
1668952	Dryophytes eximius	Mountain Tree Frog
1668953	Dryophytes femoralis	Pine Woods Tree Frog
1668962	Dryophytes gratiosus	Barking Tree Frog
1668965	Dryophytes japonicus	Japanese Tree Frog
