idx;id;sci_name;com_name;class;order
0;3;Abeillia abeillei;Emerald-chinned Hummingbird;Aves;Apodiformes
1;5;Abroscopus albogularis;Rufous-faced Warbler;Aves;Passeriformes
2;6;Abroscopus schisticeps;Black-faced Warbler;Aves;Passeriformes
3;7;Abroscopus superciliaris;Yellow-bellied Warbler;Aves;Passeriformes
4;9;Aburria aburri;Wattled Guan;Aves;Galliformes
5;12;Acanthagenys rufogularis;Spiny-cheeked Honeyeater;Aves;Passeriformes
6;13;Acanthidops bairdi;Peg-billed Finch;Aves;Passeriformes
7;15;Acanthis flammea;Redpoll;Aves;Passeriformes
8;19;Acanthisitta chloris;Rifleman;Aves;Passeriformes
9;20;Acanthiza apicalis;Inland Thornbill;Aves;Passeriformes
10;21;Acanthiza chrysorrhoa;Yellow-rumped Thornbill;Aves;Passeriformes
11;22;Acanthiza cinerea;Grey Thornbill;Aves;Passeriformes
12;23;Acanthiza ewingii;Tasmanian Thornbill;Aves;Passeriformes
13;24;Acanthiza inornata;Western Thornbill;Aves;Passeriformes
14;25;Acanthiza iredalei;Slender-billed Thornbill;Aves;Passeriformes
15;26;Acanthiza katherina;Mountain Thornbill;Aves;Passeriformes
16;27;Acanthiza lineata;Striated Thornbill;Aves;Passeriformes
17;28;Acanthiza murina;New Guinea Thornbill;Aves;Passeriformes
18;29;Acanthiza nana;Yellow Thornbill;Aves;Passeriformes
19;30;Acanthiza pusilla;Brown Thornbill;Aves;Passeriformes
20;31;Acanthiza reguloides;Buff-rumped Thornbill;Aves;Passeriformes
21;32;Acanthiza robustirostris;Slaty-backed Thornbill;Aves;Passeriformes
22;33;Acanthiza uropygialis;Chestnut-rumped Thornbill;Aves;Passeriformes
23;40;Acanthorhynchus superciliosus;Western Spinebill;Aves;Passeriformes
24;41;Acanthorhynchus tenuirostris;Eastern Spinebill;Aves;Passeriformes
25;42;Acanthornis magna;Scrubtit;Aves;Passeriformes
26;48;Tachyspiza albogularis;Pied Goshawk;Aves;Accipitriformes
27;49;Astur atricapillus;American Goshawk;Aves;Falconiformes
28;50;Astur gentilis;Eurasian Goshawk;Aves;Accipitriformes
29;51;Tachyspiza badia;Shikra;Aves;Accipitriformes
30;52;Astur bicolor;Bicolored Hawk;Aves;Accipitriformes
31;53;Tachyspiza brevipes;Levant Sparrowhawk;Aves;Accipitriformes
32;55;Astur chilensis;Chilean Hawk;Aves;Accipitriformes
33;57;Tachyspiza cirrocephala;Collared Sparrowhawk;Aves;Accipitriformes
34;58;Microspizias collaris;Semicollared Hawk;Aves;Accipitriformes
35;60;Astur cooperii;Cooper's Hawk;Aves;Accipitriformes
36;61;Tachyspiza erythrauchen;Rufous-necked Sparrowhawk;Aves;Accipitriformes
37;64;Tachyspiza fasciata;Brown Goshawk;Aves;Accipitriformes
38;65;Tachyspiza francesiae;Frances's Sparrowhawk;Aves;Accipitriformes
39;67;Tachyspiza gularis;Japanese Sparrowhawk;Aves;Accipitriformes
40;68;Astur gundlachi;Gundlach's Hawk;Aves;Accipitriformes
41;69;Tachyspiza haplochroa;White-bellied Goshawk;Aves;Accipitriformes
42;70;Tachyspiza henicogramma;Moluccan Goshawk;Aves;Accipitriformes
43;71;Astur henstii;Henst's Goshawk;Aves;Accipitriformes
44;72;Tachyspiza hiogaster;Variable Goshawk;Aves;Accipitriformes
45;73;Accipiter madagascariensis;Madagascar Sparrowhawk;Aves;Accipitriformes
46;75;Astur melanoleucus;Black Sparrowhawk;Aves;Accipitriformes
47;77;Tachyspiza minulla;Little Sparrowhawk;Aves;Accipitriformes
48;79;Accipiter nisus;Eurasian Sparrowhawk;Aves;Accipitriformes
49;80;Tachyspiza novaehollandiae;Grey Goshawk;Aves;Accipitriformes
50;81;Accipiter ovampensis;Ovambo Sparrowhawk;Aves;Accipitriformes
51;83;Accipiter poliogaster;Grey-bellied Hawk;Aves;Accipitriformes
52;84;Tachyspiza rhodogaster;Vinous-breasted Sparrowhawk;Aves;Accipitriformes
53;85;Tachyspiza rufitorques;Fiji Goshawk;Aves;Accipitriformes
54;86;Accipiter rufiventris;Rufous-breasted Sparrowhawk;Aves;Accipitriformes
55;87;Tachyspiza soloensis;Chinese Sparrowhawk;Aves;Accipitriformes
56;88;Accipiter striatus;Sharp-shinned Hawk;Aves;Accipitriformes
57;89;Microspizias superciliosus;Tiny Hawk;Aves;Accipitriformes
58;91;Aerospiza tachiro;African Goshawk;Aves;Accipitriformes
59;93;Tachyspiza trinotata;Spot-tailed Sparrowhawk;Aves;Accipitriformes
60;94;Lophospiza trivirgata;Crested Goshawk;Aves;Accipitriformes
61;96;Tachyspiza virgata;Besra;Aves;Accipitriformes
62;104;Rhabdotorrhinus corrugatus;Wrinkled Hornbill;Aves;Bucerotiformes
63;106;Aceros nipalensis;Rufous-necked Hornbill;Aves;Bucerotiformes
64;107;Achaetops pycnopygius;Rockrunner;Aves;Passeriformes
